Index,Title,Rating,Review Count,User Reviews,Phone Number,Address,Locality,Country,Date Generated
20,Gunung Kawi Sebatu Temple,4.5 ,697,{},,"Jl. Raya Bayad, Sebatu, Tegallalang",Tegalalang 80561 ,Indonesia,2018-07-17 14:23:46
21,Bali Sea Turtle Society (BSTS),4.5 ,373,{},+62 811-3882-683,Beach Front Grand Inna Kuta,Kuta ,Indonesia,2018-07-17 14:23:46
22,Atuh Beach,4.5 ,127,{},,"Banjar Pelilitan, Desa Pejukutan",80771 ,Indonesia,2018-07-17 14:23:46
23,Turtle Conservation and Education Centre,4.5 ,649,{},,Behind Bali Dolphins,Serangan Denpasar 80229 ,Indonesia,2018-07-17 14:23:46
24,Mount Kawi,4.5 ,"1,072",{},,Pakrisan River,Tampaksiring 80552 ,Indonesia,2018-07-17 14:23:46
25,Gunung Payung Beach,4.5 ,100,{},+62 812-3814-0754,"Kutuh Village, Kuta Selatan",,Indonesia,2018-07-17 14:23:46
26,Kanto Lampo Waterfall,4.5 ,168,{},+62 822-4703-7847,"Br. Kelod Kangin, Desa Beng",,Indonesia,2018-07-17 14:23:46
27,Lempuyang Temple,4.5 ,418,{},,On top of Mt. Lempuyang,Abang ,Indonesia,2018-07-17 14:23:46
28,Melasti Beach,4.5 ,219,{},,,Ungasan ,Indonesia,2018-07-17 14:23:46
29,Mount Agung,4.5 ,422,{},,,,Indonesia,2018-07-17 14:23:46
30,Taman Nusa,4.5 ,239,{},+62 361 952952,Jl. Taman Bali - Banjarangkan,Sidan 80515 ,Indonesia,2018-07-17 14:23:46
31,Devil's Tears,4.5 ,"1,948",{},+91 44 6531 5613,Nusa Lembongan (A few minutes from Dream Beach),80771 ,Indonesia,2018-07-17 14:23:46
32,Tirta Empul Temple,4.5 ,"2,320",{},,,Tampaksiring 80552 ,Indonesia,2018-07-17 14:23:46
33,Aling-Aling Waterfall,4.5 ,184,{},,Jl. Raya Desa Sambangan,Sambangan 81161 ,Indonesia,2018-07-17 14:23:46
34,Ubud Kajeng Rice Fields Walk,4.5 ,468,{},,Jl. Kajeng,Ubud ,Indonesia,2018-07-17 14:23:46
35,Pura Tirta Empul Segara Merta Sari,4.5 ,137,{},,"Jl. Pengembak, Tirta Empul, Pantai Merta Sari",Sanur Denpasar 80228 ,Indonesia,2018-07-17 14:23:46
36,Ujung Water Palace,4.5 ,"1,030",{},,Jl. Lettu Alit,Karangasem 80811 ,Indonesia,2018-07-17 14:23:46
37,St. Francis Xavier Catholic Church,4.5 ,167,{},,Jl. Kartika Plaza,Kuta ,Indonesia,2018-07-17 14:23:46
38,Bali Bird Park,4.5 ,"1,976",{},+62 361 299352,Jl. Serma Cok Ngurah Gambir,80361 ,Indonesia,2018-07-17 14:23:46
39,Museum PASIFIKA,4.5 ,484,{},+62 361 774935,BTDC area. Block P,Nusa Dua 80363 ,Indonesia,2018-07-17 14:23:46
40,Menjangan Island,4.5 ,"1,653",{},,"Jln.raya Singaraja-gilimanuk,labuanlalang",Pemuteran Gerokgak 81155 ,Indonesia,2018-07-17 14:23:46
41,Blue Point Beach,4.5 ,525,{},,Jl. Pantai Suluban,Ungasan 80361 ,Indonesia,2018-07-17 14:23:46
42,Brahma Vihara Arama Buddhist Monastery,4.5 ,260,{},+62 362 92954,Banjar Tegeha,,Indonesia,2018-07-17 14:23:46
43,Nyang-nyang Beach,4.5 ,157,{},,"Desa Pecatu, Kecamatan Kuta Selatan",Pecatu ,Indonesia,2018-07-17 14:23:46
44,Tegal Wangi Beach,4.5 ,163,{},,"Jl. Pura Tegalwangi, Badung",Jimbaran ,Indonesia,2018-07-17 14:23:46
45,Lake Beratan,4.5 ,699,{},,"Jl. Bedugul, Candi Kuning",Tabanan 80345 ,Indonesia,2018-07-17 14:23:46
46,Penglipuran,4.5 ,353,{},,,80613 ,Indonesia,2018-07-17 14:23:46
47,Melanting Waterfalls,4.5 ,198,{},+62 821-4410-1272,"Jl.muduk, gobleg",Munduk 81152 ,Indonesia,2018-07-17 14:23:46
48,Luhur Batukaru Temple,4.5 ,295,{},,,Tabanan ,Indonesia,2018-07-17 14:23:46
49,Ulun Danu Bratan Temple,4.5 ,"3,057",{},+62 368 2033050,Jl. Raya Candi Kuning,Tabanan 82191 ,Indonesia,2018-07-17 14:23:46
50,Karma Beach Bali,4.5 ,498,{},+62 361 8482200,"Jl. Villa Kandara, Banjar Wijaya Kusuma",Ungasan 80362 ,Indonesia,2018-07-17 14:23:46
51,Bali Pulina Agro Tourism,4.5 ,719,{},+62 878-6224-0233,Br Pujang Kelod Desa Sebatu,,Indonesia,2018-07-17 14:23:46
52,Jemeluk Beach,4.5 ,812,{},+62 822-4703-7847,,Amed Abang 80852 ,Indonesia,2018-07-17 14:23:46
53,Campuhan Ridge Walk,4.5 ,"4,788",{},,Jl. Raya Campuhan,Ubud 80571 ,Indonesia,2018-07-17 14:23:46
54,Suluban Beach,4.5 ,282,{},,Jalan Pantai Suluban,Pecatu ,Indonesia,2018-07-17 14:23:46
55,Kehen Temple,4.5 ,168,{},,Jl. Raya Bangli,Kintamani 80513 ,Indonesia,2018-07-17 14:23:46
56,Lipah Beach,4.5 ,226,{},,,Amed Abang ,Indonesia,2018-07-17 14:23:46
57,DMZ Museum,4.5 ,603,{},+62 361 8496220,Jl. Nakula no. 33X,Legian 80361 ,Indonesia,2018-07-17 14:23:46
58,Mount Batur,4.5 ,"2,440",{},,Batur Caldera,Kintamani 80652 ,Indonesia,2018-07-17 14:23:46
59,Tirta Empul Temple,4.5 ,319,{},,Jl. Tirta,80552 ,Indonesia,2018-07-17 14:23:46
60,Neka Art Museum,4.5 ,912,{},+62 361 975074,Raya Campuhan St,Ubud 80571 ,Indonesia,2018-07-17 14:23:46
61,Green Bowl Beach,4.5 ,369,{},,,Ungasan 80361 ,Indonesia,2018-07-17 14:23:46
62,Balangan Beach,4.5 ,"1,085",{},,Balangan,Kuta 80361 ,Indonesia,2018-07-17 14:23:46
63,Mengiat Beach,4.5 ,165,{},,,Nusa Dua ,Indonesia,2018-07-17 14:23:46
64,Semar Kuning Artist Cooperative,4.5 ,144,{},+62 361 974080,Lodtunduh Ubud,Ubud ,Indonesia,2018-07-17 14:23:46
65,Museum Trick Art 3D,4.0 ,535,{},+62 361 8496624,Jl. Sunset Road no. 789,Seminyak ,Indonesia,2018-07-17 14:23:46
66,Tamblingan Lake,4.5 ,156,{},,Desa Munduk,,Indonesia,2018-07-17 14:23:46
67,Nusa Dua Beach,4.0 ,"4,995",{},,Semenanjung Nusa Dua,Nusa Dua 80517 ,Indonesia,2018-07-17 14:23:46
68,Bali Zoo,4.0 ,"3,131",{},+62 361 294357,Jl. Raya Singapadu,Sukawati 80582 ,Indonesia,2018-07-17 14:23:46
69,Geger Beach Nusa Dua Bali,4.0 ,"1,112",{},,"Desa Adat Peminge, Sawangan",Nusa Dua 80363 ,Indonesia,2018-07-17 14:23:46
70,Kintamani Highland,4.0 ,766,{},+62 815-4756-6717,"Jl. Raya Penelokan, Batur, Bangli",Kintamani 80518 ,Indonesia,2018-07-17 14:23:46
71,Peek A Boo,4.5 ,148,{},+62 361 282638,Jl Bypass Ngurah Rai #17,Sanur Denpasar ,Indonesia,2018-07-17 14:23:46
72,Istana Tampak Siring,4.0 ,400,{},,Jalan Raya Ir. Sukarno,Tampaksiring ,Indonesia,2018-07-17 14:23:46
73,Gunung Lebah Temple,4.5 ,213,{},,Jl. Raya Campuhan,Ubud 80571 ,Indonesia,2018-07-17 14:23:46
74,Giri Putri Cave,4.5 ,116,{},,Desa Karang Sari,80771 ,Indonesia,2018-07-17 14:23:46
75,Saraswati Temple,4.5 ,"1,324",{},,Jl. Raya,Ubud 80571 ,Indonesia,2018-07-17 14:23:46
76,Angel's Billabong,4.5 ,345,{},,"Banjar Sumpang, Desa Bunga Mekar",,Indonesia,2018-07-17 14:23:46
77,Sangeh Monkey Forest,4.5 ,295,{},,"Desa Adat Sangeh, Kecamatan Abiansemal, Kabupaten Badung",Sangeh 80353 ,Indonesia,2018-07-17 14:23:46
78,Uluwatu Temple,4.0 ,"8,613",{},,Jl. Raya Uluwatu,Pecatu 80361 ,Indonesia,2018-07-17 14:23:46
79,Ground Zero Monument,4.0 ,"2,412",{},,Legian Street,Kuta ,Indonesia,2018-07-17 14:23:46
80,Banyumala Twin Waterfalls,4.5 ,85,{},,Jl. Wanagiri-Munduk-Asahpanji,Singaraja 81162 ,Indonesia,2018-07-17 14:23:46
81,Puseh Batuan Temple,4.0 ,301,{},+62 878-6246-6055,Batuan Village near Singapadu,Sukawati 80582 ,Indonesia,2018-07-17 14:23:46
82,Taman Ayun Temple,4.0 ,"1,412",{},+62 813-3854-3274,Jalan Ayodya,Mengwi ,Indonesia,2018-07-17 14:23:46
83,Nyaman Gallery,4.5 ,100,{},+62 361 736226,Jl. Basangkasa no. 88,Seminyak 80361 ,Indonesia,2018-07-17 14:23:46
84,Bingin Beach,4.5 ,606,{},,,Pecatu ,Indonesia,2018-07-17 14:23:46
85,Amed Beach,4.0 ,407,{},,"Tulamben Village, Kec Kubu",Karangasem ,Indonesia,2018-07-17 14:23:46
86,Pandawa Beach,4.0 ,"3,215",{},,Darmawangsa St.,Kuta 80361 ,Indonesia,2018-07-17 14:23:46
87,Munduk Waterfall,4.0 ,334,{},,,,Indonesia,2018-07-17 14:23:46
88,Biorock Pemuteran bali,4.5 ,384,{},+62 813-3824-5474,Next to Taman Sari Resort,Pemuteran Gerokgak 80120 ,Indonesia,2018-07-17 14:23:46
89,White Sand Beach,4.0 ,920,{},,,Karangasem ,Indonesia,2018-07-17 14:23:46
90,Bajra Sandhi Monument,4.0 ,201,{},,Renon,Denpasar 80229 ,Indonesia,2018-07-17 14:23:46
91,Transmart Carrefour,4.0 ,450,{},+62 812-3811-100,Jl. Sunset Road,Denpasar ,Indonesia,2018-07-17 14:23:46
92,Sindhu Market,4.0 ,413,{},,,Sanur Denpasar ,Indonesia,2018-07-17 14:23:46
93,Jimbaran Fish Market,4.0 ,328,{},+62 853-3778-1008,Jimbaran Bay,Jimbaran ,Indonesia,2018-07-17 14:23:46
94,FlowRider Waterbom Bali,4.5 ,107,{},+62 361 755676,,Kuta 80361 ,Indonesia,2018-07-17 14:23:46
95,TAKSU Photo Gallery,4.5 ,65,{},+62 361 972500,Jl. Monkey Forest Road 11a,Ubud 80571 ,Indonesia,2018-07-17 14:23:46
96,Klungkung Temple,4.0 ,144,{},,Jalan Puputan Klungkung,,Indonesia,2018-07-17 14:23:46
97,Satria Coffee Plantation,4.0 ,855,{},+62 817-9793-020,,Ubud ,Indonesia,2018-07-17 14:23:46
98,Don Antonio Blanco Museum,4.0 ,"1,273",{},+62 361 975502,Jl. Raya Penestanan no.8,Ubud 80361 ,Indonesia,2018-07-17 14:23:46
99,Bali International Convention Centre,4.5 ,106,{},+62 623 61771906,"Kawasan Pariwisata Nusa Dua, BTDC Lot N-3",Nusa Dua 80363 ,Indonesia,2018-07-17 14:23:46
100,Bali Botanic Garden,4.0 ,388,{},+62 812-3711-2373,Jl. Kebun Raya Eka Karya,Tabanan 82191 ,Indonesia,2018-07-17 14:23:46
101,Lake Batur (Danau Batur),4.0 ,570,{},+62 813-5323-0036,,Kintamani ,Indonesia,2018-07-17 14:23:46
102,Gitgit Waterfall,4.0 ,"1,114",{},,"Desa Gitgit, Kecamatan Sukasada, Buleleng",Singaraja 81112 ,Indonesia,2018-07-17 14:23:46
103,Supermarket Bintang,4.0 ,179,{},+62 361 972972,Jl. Raya Sanggingan no. 45,Ubud ,Indonesia,2018-07-17 14:23:46
104,Bali Butterfly Park,4.0 ,536,{},+62 361 8940595,Jl. Batukaru,Tabanan 80351 ,Indonesia,2018-07-17 14:23:46
105,Balian Beach,4.0 ,167,{},,"Desa Lalah Linggah, Selemadeg Barat",Tabanan ,Indonesia,2018-07-17 14:23:46
106,Gunung Sari Dance,4.5 ,90,{},,Puri Dalem Ubud,,Indonesia,2018-07-17 14:23:46
107,Museum Puri Lukisan,4.0 ,666,{},+62 623 61971159,Yayasan Ratna Wartha,Ubud 80571 ,Indonesia,2018-07-17 14:23:46
108,Sindhu Beach,4.0 ,557,{},,,Sanur Denpasar ,Indonesia,2018-07-17 14:23:46
109,Water Blow,4.0 ,905,{},,Jl. Pantai Mengiat,Nusa Dua 80363 ,Indonesia,2018-07-17 14:23:46
110,Amed Shipwreck,4.5 ,90,{},,,Amed Abang 80852 ,Indonesia,2018-07-17 14:23:46
111,Elephant Safari Park,4.0 ,"1,803",{},+62 361 8988888,Jalan Elephant Park,Tegalalang 80561 ,Indonesia,2018-07-17 14:23:46
112,Beachwalk Shopping Center,4.0 ,"4,054",{},+62 361 8464888,Jl. Pantai Kuta,Kuta 80361 ,Indonesia,2018-07-17 14:23:46
113,Kemenuh Butterfly Park,4.0 ,240,{},+62 361 4791681,Kemenuh Street,80582 ,Indonesia,2018-07-17 14:23:46
114,Teba Sari Bali Agrotourism,4.0 ,372,{},+62 812-3687-466,Banjar Kellingkung,Lodtunduh Ubud ,Indonesia,2018-07-17 14:23:46
115,"Seaweed Farming, Nusa Lembongan",4.0 ,213,{},+62 813-3847-0710,,,Indonesia,2018-07-17 14:23:46
116,Berawa Beach,4.0 ,238,{},,,Canggu ,Indonesia,2018-07-17 14:23:46
117,Taman Wisata Kertha Gosa,4.5 ,76,{},,,Klungkung ,Indonesia,2018-07-17 14:23:46
118,Tibumana Waterfall,4.5 ,80,{},+62 859-3506-4919,"Banjar Bangun Lemah Kawan, Desa Apuan, Kecamatan Susut",,Indonesia,2018-07-17 14:23:46
119,Batu Belig Beach,4.0 ,325,{},,Jalan Batu Belig,Kerobokan ,Indonesia,2018-07-17 14:23:46
120,Samasta Lifestyle Village,4.0 ,103,{},+62 361 4468600,Jl. Wanagiri no. 1,Jimbaran 80361 ,Indonesia,2018-07-17 14:23:46
121,Cinemaxx Theater Lippo Mall Kuta,4.5 ,123,{},+62 361 8979099,Jl. Kartika Plaza Lingkar Segara Unit L6-15,Kuta 80361 ,Indonesia,2018-07-17 14:23:46
122,Bali Safari & Marine Park,4.0 ,"4,420",{},+62 361 95000,"Jl. Prof Ida Bagus Mantra Km, 19.8",80551 ,Indonesia,2018-07-17 14:23:46
123,Ulu Watu Beach,4.5 ,82,{},,,Uluwatu ,Indonesia,2018-07-17 14:23:46
124,Puja Mandala,4.5 ,75,{},,Jl. Kuruksetra no. 88,Nusa Dua 80361 ,Indonesia,2018-07-17 14:23:46
125,Bias Tugel Beach,4.5 ,62,{},,Padang Bai,80871 ,Indonesia,2018-07-17 14:23:46
126,Manik Abian Bali Agriculture,4.5 ,57,{},+62 813-3959-3566,Banjar Apuh Desa Sebatu Tegallalang Gianyar (Jl Raya Pujung Kintamani),80636 ,Indonesia,2018-07-17 14:23:46
127,Banjar Hot Springs,4.0 ,896,{},+62 362 92901,"Banjar Tengah, Buleleng",Singaraja 81152 ,Indonesia,2018-07-17 14:23:46
128,JImbaran Beach,4.0 ,678,{},,,Jimbaran 80361 ,Indonesia,2018-07-17 14:23:46
129,Jimbaran Bay,4.0 ,"2,644",{},,,Jimbaran 80363 ,Indonesia,2018-07-17 14:23:46
130,Mangrove Forest Nusa Lembongan,4.0 ,872,{},,Jl. Jungutbatu,80225 ,Indonesia,2018-07-17 14:23:46
131,Tegenungan Waterfall,4.0 ,"3,068",{},,"Jl. Raya Tegenungan, Kemenuh",Ubud 80581 ,Indonesia,2018-07-17 14:23:46
132,Canggu Beach,4.0 ,697,{},,Jl. Batu Bolong,Canggu ,Indonesia,2018-07-17 14:23:46
133,Renon Square,4.0 ,124,{},,,Denpasar ,Indonesia,2018-07-17 14:23:46
134,Pantai Batu Mejan (Echo Beach),4.0 ,431,{},,Jl. Pura Batu Mejan,Canggu ,Indonesia,2018-07-17 14:23:46
135,Cemara Beach,4.0 ,114,{},,,Sanur Denpasar ,Indonesia,2018-07-17 14:23:46
136,Sanur Beach,4.0 ,"6,866",{},,,Sanur Denpasar ,Indonesia,2018-07-17 14:23:46
137,Gianyar Street Night Market,4.0 ,116,{},,Jl. Ngurah Rai-Gianyar,,Indonesia,2018-07-17 14:23:46
138,Matahari Kuta Square,4.0 ,158,{},,Jl. Ciung Wanara no. 1,Kuta 80361 ,Indonesia,2018-07-17 14:23:46
139,Yeh Pulu Temple,4.0 ,192,{},,,Ubud 80511 ,Indonesia,2018-07-17 14:23:46
140,Jalan Sulawesi,4.0 ,123,{},,,Denpasar ,Indonesia,2018-07-17 14:23:46
141,Virgin Beach,4.0 ,144,{},,,Karangasem ,Indonesia,2018-07-17 14:23:46
142,Double Six Beach,4.0 ,"1,717",{},,Along Arjuna Road,Seminyak ,Indonesia,2018-07-17 14:23:46
143,Sukawati Art Market,4.0 ,333,{},,Jl. Raya Sukawati,,Indonesia,2018-07-17 14:23:46
144,Bali Sharks,4.5 ,85,{},+62 361 9965101,Jln Tukad Panggawa # 25,80229 ,Indonesia,2018-07-17 14:23:46
145,Thomas Beach,4.0 ,103,{},,,Uluwatu ,Indonesia,2018-07-17 14:23:46
146,Legian Beach,4.0 ,"2,895",{},,Legian Village,Legian ,Indonesia,2018-07-17 14:23:46
147,Ubud Sari Coffee Luwak Agrotourism,4.0 ,146,{},+62 812-3922-2666,Jl. Pinus,,Indonesia,2018-07-17 14:23:46
148,Goa Lawah Temple,4.0 ,422,{},,"10 km East of Klungkung, between Kusamba and Padang Bai",,Indonesia,2018-07-17 14:23:46
149,Pura Ulun Siwi,4.0 ,122,{},+62 857-9266-888,Jl. Uluwatu,Jimbaran ,Indonesia,2018-07-17 14:23:46
150,Elephant Cave Ubud,3.5 ,"4,102",{},,Jl. Raya Goa Gajah,Ubud 80581 ,Indonesia,2018-07-17 14:23:46
151,Peliatan Royal Palace,4.0 ,163,{},+62 812-3651-0900,"Puri Agung Peliatan, Jl Cok Gede Rai",Ubud ,Indonesia,2018-07-17 14:23:46
152,Legian Street,4.0 ,"1,888",{},,,Legian 80361 ,Indonesia,2018-07-17 14:23:46
153,FreeBird Express,4.0 ,264,{},+62 819-9924-2600,Jl. Raya Amed,Amed Abang 80252 ,Indonesia,2018-07-17 14:23:46
154,Padang Padang Beach,4.0 ,"2,715",{},,,Pecatu 80361 ,Indonesia,2018-07-17 14:23:46
155,Garuda Wisnu Kencana Cultural Park,3.5 ,"1,270",{},+62 361 700808,Jl. Raya Uluwatu,Ungasan 80364 ,Indonesia,2018-07-17 14:23:46
156,Subak Juwuk Manis (Ubud Rice Field),4.5 ,47,{},,,Ubud ,Indonesia,2018-07-17 14:23:46
157,Upside Down World,4.0 ,146,{},+62 361 8473053,Jl. By Pass Ngurah Rai no. 762,,Indonesia,2018-07-17 14:23:46
158,Yellow Bridge,4.0 ,831,{},,Nusa Cerningan,,Indonesia,2018-07-17 14:23:46
159,Dreamland Beach,4.0 ,"1,104",{},,Jl. Raya Pecatu Bukit Jimbaran,Kuta 80363 ,Indonesia,2018-07-17 14:23:46
160,Dreamland Beach,4.0 ,711,{},,Pecatu Indah Resort,Pecatu ,Indonesia,2018-07-17 14:23:46
161,Merta Harum Agroo Plantation,4.5 ,90,{},+62 857-9200-0049,Jl. Raya Mawang,Ubud 80571 ,Indonesia,2018-07-17 14:23:46
162,Buyan Lake,4.5 ,49,{},,,,Indonesia,2018-07-17 14:23:46
163,Luwak Civet Coffee Farm,3.5 ,382,{},+62 878-6233-1333,Sekardadi Village,Kintamani ,Indonesia,2018-07-17 14:23:46
164,Pura Rambut Siwi,4.5 ,55,{},,Jl. Raya Denpasar,Denpasar ,Indonesia,2018-07-17 14:23:46
165,Sanur Morning Market,4.0 ,99,{},,Jl. Danau Tamblingan,Sanur Denpasar ,Indonesia,2018-07-17 14:23:46
166,Sebatu,4.5 ,49,{},+62 361 9168689,"Banjar Pujung Kelod, Desa Debatu",Tegalalang ,Indonesia,2018-07-17 14:23:46
167,Bali Elephant Camp,4.0 ,316,{},,,Carangsari ,Indonesia,2018-07-17 14:23:46
168,Pura Dalem Bentuyung Temple,4.5 ,72,{},+62 361 970774,Desa Bentuyung,Ubud 80571 ,Indonesia,2018-07-17 14:23:46
169,Taman Gili and Museum Daerah Semarapura,4.0 ,72,{},+62 878-6246-6055,Jalan Surapati and Jalan Puputan,Klungkung ,Indonesia,2018-07-17 14:23:46
170,Kedonganan Beach,4.0 ,135,{},,,Kuta ,Indonesia,2018-07-17 14:23:46
171,Pasar Ubud,3.5 ,218,{},,Jl. Raya Ubud,,Indonesia,2018-07-17 14:23:46
172,Temple of the Meeting of the Three (Pura Samuan Tiga),4.5 ,70,{},,Bedahulu village,Ubud ,Indonesia,2018-07-17 14:23:46
173,Batu Bolong Beach,4.0 ,129,{},,Jl. Pantai Batu Bolong,Canggu ,Indonesia,2018-07-17 14:23:46
174,Seminyak Beach,3.5 ,"4,606",{},,,Seminyak ,Indonesia,2018-07-17 14:23:46
175,The Turtle Project,4.0 ,63,{},+62 812-3894-051,Reef Seen Divers' Resort,Pemuteran Gerokgak 81155 ,Indonesia,2018-07-17 14:23:46
176,Mai Mai Tourist Information,5.0 ,29,{},+62 361 4727951,Beach Walk Shopping Mall 3rd Floor,Kuta 80361 ,Indonesia,2018-07-17 14:23:46
177,Geger Sawangan Beach,4.0 ,93,{},,Desa adat Peminge,Nusa Dua ,Indonesia,2018-07-17 14:23:46
178,Kuta Square,3.5 ,"2,115",{},,Jl. Bakung Sari no. 1,Kuta 80361 ,Indonesia,2018-07-17 14:23:46
179,Petitenget Beach,3.5 ,300,{},,Jl. Petitenget,Kerobokan ,Indonesia,2018-07-17 14:23:46
180,Discovery Shopping Mall,3.5 ,"2,756",{},+62 361 769572,Kartika Plaza St.,Kuta 80361 ,Indonesia,2018-07-17 14:23:46
181,Pura Beji,4.5 ,50,{},,Main Road Sangsit - Buleleng,,Indonesia,2018-07-17 14:23:46
182,Satria Gatotkaca Statue,4.5 ,37,{},,Jl. Raya Tuban No.1,Tuban Kuta ,Indonesia,2018-07-17 14:23:46
183,Selambung Beach,4.0 ,72,{},,,,Indonesia,2018-07-17 14:23:46
184,Big Garden Corner,4.0 ,52,{},,Jl. By Pas Ngurah Rai,Sanur Denpasar 80237 ,Indonesia,2018-07-17 14:23:46
185,Mal Bali Galeria,3.5 ,362,{},+62 361 755277,Jl. Bypass Ngurah Rai,Kuta ,Indonesia,2018-07-17 14:23:46
186,Ubud Traditional Art Market,3.5 ,"1,356",{},,Jl. Raya and Monkey Forest Road,Ubud 80571 ,Indonesia,2018-07-17 14:23:46
187,OKA Agriculture Bali,4.5 ,50,{},+62 813-3838-8422,"Br. Temen, Susut, Bangli",,Indonesia,2018-07-17 14:23:46
188,Tulamben Beach,4.0 ,101,{},,,Tulamben ,Indonesia,2018-07-17 14:23:46
189,Bali Collection,3.5 ,"3,619",{},+62 361 771662,BTDC Complex,Nusa Dua 80363 ,Indonesia,2018-07-17 14:23:46
190,Tuban Beach,3.5 ,112,{},,Jalan Kartika Plaza,Kuta ,Indonesia,2018-07-17 14:23:46
191,Kusamba Traditional Salt Mining,4.0 ,57,{},,,,Indonesia,2018-07-17 14:23:46
192,Lotus Lagoon,4.0 ,88,{},+62 877-6299-6239,,Candidasa Karangasem ,Indonesia,2018-07-17 14:23:46
193,Bali On Holidays - Day Tours,5.0 ,27,{},+62 857-3763-7976,Jl. By Pass Ngurah Rai - Pesanggaran,Denpasar 80361 ,Indonesia,2018-07-17 14:23:46
194,Har's Garden,5.0 ,32,{},+62 813-3738-2099,Jl. Sri Wedari,Ubud 80571 ,Indonesia,2018-07-17 14:23:46
195,Penglipuran Bamboo Forest,4.0 ,52,{},,,,Indonesia,2018-07-17 14:23:46
196,Puri Saren Palace,3.5 ,851,{},,"Jl. Raya Ubud, Puri Saren Palace",Ubud 08671 ,Indonesia,2018-07-17 14:23:46
197,METIS Gallery & Boutiques,4.5 ,37,{},+62 361 4737888,"Jl. Petitenget no. 6, Kerobokan Kelod",Denpasar 80361 ,Indonesia,2018-07-17 14:23:46
198,Garlic Lane,4.0 ,74,{},,Garlic Lane,Legian ,Indonesia,2018-07-17 14:23:46
199,Vihara Dharma Giri,4.5 ,27,{},,Jl. Raya Pupuan no. 1,Tabanan 82163 ,Indonesia,2018-07-17 14:23:46
200,Level 21 Mall,4.0 ,52,{},+62 361 257576,Jl. Teuku Umar no. 1,Denpasar 80114 ,Indonesia,2018-07-17 14:23:46
201,Belimbing Village,5.0 ,26,{},,Jln. Belimbing,Tabanan 82111 ,Indonesia,2018-07-17 14:23:46
202,Hardy's Sanur,3.5 ,405,{},+62 361 281914,Jl. Danau Tamblingan no. 136,Sanur Denpasar ,Indonesia,2018-07-17 14:23:46
203,Bali Dolphins,4.0 ,436,{},+62 361 4730218,Jl. Tangkuban Perahu,Sanur Denpasar ,Indonesia,2018-07-17 14:23:46
