Index,Title,Rating,Review Count,Phone Number,Address,Locality,Country
34,Tsim Sha Tsui,4.5 ,"1,534",85261317558,Kowloon,"Hong Kong, ",China
35,Hong Kong Heritage Museum,4.5 ,495,852 2180 8188,"1 Man Lam Rd, Sha Tin, New Territories","Hong Kong, ",China
36,Hong Kong New Year Countdown,4.5 ,199,24145555,Around Victoria Harbour,"Hong Kong, ",China
37,Ocean Park,4.5 ,"9,650",852-39232323,No.180 Wong Chuk Hang Road,"Hong Kong, ",China
38,The Cheung Chau Bun Festival,4.5 ,115,,Cheung Chau Island,"Hong Kong 852, ",China
39,Hong Kong Museum of Coastal Defence,4.5 ,245,(852) 2569-1500,"175 Tung Hei Rd, Shau Kei Wan","Hong Kong, ",China
40,Central,4.5 ,"1,087",85225218811,Central and Western District,"Hong Kong, ",China
41,Hong Kong Maritime Museum,4.5 ,487,+852 3713 2500,Man Kwong Street,"Hong Kong, ",China
42,"Stanley, Hong Kong",4.0 ,"2,891",,"South District, Hong Kong Island","Hong Kong, ",China
43,Shek O,4.5 ,292,+86 775 905 5624,South Side,"Hong Kong, ",China
44,Cheung Chau Island,4.5 ,"1,385",29810606,Southwest of Hongkong Island,"Hong Kong, ",China
45,Soho,4.0 ,928,85231050767,South of Hollywood Road,"Hong Kong, ",China
46,Hong Kong Victoria Park Lunar New Year Fair (Flower Market),4.5 ,172,24145555,1 Hing Fat Street,"Hong Kong, ",China
47,Kowloon Park,4.0 ,"1,940",+852 2724 3344,"22 Austin Rd., Tsim Sha Tsui","Hong Kong, ",China
48,Tai O,4.0 ,"1,521",97114727,,"Hong Kong, ",China
49,Repulse Bay,4.0 ,"1,016",,"South of Taiping Mountain, South District","Hong Kong, ",China
50,Hong Kong Dragon Boat Carnival,4.5 ,96,,Central and Western,"Hong Kong, ",China
51,Hong Kong Science Museum,4.0 ,849,85227323232,"No.2 Science Museum Road, Tsim Sha Tsui East, Kowloon","Hong Kong, ",China
52,Tsim Sha Tsui East,4.0 ,"1,207",,Chatham Rd. South,"Hong Kong, ",China
53,International Finance Centre,4.0 ,187,,1 Harbour View Street,"Hong Kong, ",China
54,Lan Kwai Fong,4.0 ,"1,460",,Central,"Hong Kong 00000, ",China
55,Causeway Bay,4.0 ,"1,064",85224343033,"East to Wanchai, West to Pak Kok","Hong Kong, ",China
56,Hong Kong Wetland Park,4.0 ,294,852-31522666,"Wetland Park Road, Tin Shui Wai","Hong Kong, ",China
57,Tsim Sha Tsui Promenade,4.0 ,"4,793",+852 2807 6543,Tsim Sha Tsui,"Hong Kong, ",China
58,Wong Tai Sin Temple (Sik Sik Yuen Temple),4.0 ,"1,460",852-23278141,"2 Chuk Yuen Village, Wong Tai Sin, Kowloon","Hong Kong, ",China
59,Elements (Mall),,283,852-27355234,1 Austin Road West,"Hong Kong, ",China
60,Mongkok,4.0 ,"3,020",52391006,Kowloon,"Hong Kong, ",China
61,Tsing Ma Bridge,4.0 ,148,+852 2495 5825,Tsing Yi Island,"Hong Kong, ",China
62,Hong Kong Convention and Exhibition Centre,4.0 ,365,852 2582 8888,"1 Expo Dr., Wanchai","Hong Kong, ",China
63,Ocean Park Halloween Fest,4.5 ,127,39232323,No.180 Wong Chuk Hang Road,"Hong Kong, ",China
64,Harbour City,,908,(852) 2118 8666,"Canton Road, Tsim Sha Tsui, Kowloon","Hong Kong, ",China
65,IFC mall,,936,+852 2295 3308,"8 Finance Street, Central, Hong Kong Island","Hong Kong, ",China
66,Discovery Bay,4.0 ,215,852-36512345,Lantau Island,"Hong Kong, ",China
67,Lion Rock Country Park,4.5 ,68,,,"Hong Kong, ",China
68,Trick Eye Museum Hong Kong,4.0 ,185,(852) 2813 1686,"No.118, Peak Road","Hong Kong, ",China
69,Big Wave Bay Beach,4.0 ,88,,Big Wave Bay Rd,"Hong Kong, ",China
70,St. John's Cathedral,4.0 ,210,852-25234157,"No.4-8 Garden Road, Central District","Hong Kong, ",China
71,The University of Hong Kong,4.5 ,107,852 2859 2111,Pok Fu Lam Road,"Hong Kong, ",China
72,Kowloon City,4.0 ,278,,Kowloon,"Hong Kong, ",China
73,Wan Chai,4.0 ,530,,,"Hong Kong, ",China
74,Central Hiking Lamma Trail,4.5 ,119,,Lamma Island,"Hong Kong, ",China
75,Flower Market Road,4.0 ,470,,"Hong Lok Street, Yau Tsim Mong District, Kowloon","Hong Kong, ",China
76,Hong Kong Station,4.0 ,225,+852 2523 3627,"No.1 Gangjing Street, Central","Hong Kong, ",China
77,Man Mo Temple,4.0 ,966,852-28032916,124-126 Hollywood Road,"Hong Kong, ",China
78,Hong Kong Arts Festival,4.5 ,86,,"2 Harbour Road, Wanchai","Hong Kong, ",China
79,Sheung Wan,4.0 ,289,,west of Central,"Hong Kong, ",China
80,Kowloon Walled City Park,4.0 ,423,852 2716 9962,"Tung Tau Tsuen, Kowloon","Hong Kong, ",China
81,Golden Computer Arcade,,135,,146-152 Fuk Wa Street,"Hong Kong, ",China
82,Sham Shui Po,4.0 ,413,,Sham Shui Po,"Hong Kong, ",China
83,Lion Rock,4.5 ,65,,,"Hong Kong, ",China
84,1881 Heritage,4.0 ,381,852-29268000,"No. 2A Canton Road, Tsim Sha Tsui, Kowloon","Hong Kong, ",China
85,Che Kung Temple,4.0 ,219,+852 2691 1733,Che Kung Miu Road,"Hong Kong, ",China
86,Hong Kong Flower Show,4.0 ,92,24287827,"No.1 Hing Fat Street, Causeway Bay","Hong Kong, ",China
87,Ani-Com & Games Convention,4.0 ,123,,"1 Expo Drive,Wan Chai","Hong Kong, ",China
88,Pacific Place,,265,852-28448988,"88 Queensway, Central area of Hong Kong Island","Hong Kong, ",China
89,Old Peak Road,4.5 ,77,,Victoria Gap,"Hong Kong, ",China
90,"Peng chau Island (Ping chau, Pingzhou)",4.0 ,125,,"Within the Islands District, New Territories West","Hong Kong, ",China
91,Festival Walk,,162,852-28442223,"80 Tat Chee Avenue, Kowloon Tong","Hong Kong, ",China
92,Peak Tram,4.0 ,"8,187",852-28497654,No.1 Lugard Road,"Hong Kong, ",China
93,Wisdom Path,4.5 ,86,,"Ngong Ping, Lantau Island, Outlying Islands","Hong Kong, ",China
94,Bank of China Tower,4.0 ,265,,1 Garden Road,"Hong Kong, ",China
95,Langham Place,,496,852-35202800,"8 Argyle Street, Mong Kok, Kowloon","Hong Kong, ",China
96,Hong Kong Wine & Dine Festival,4.0 ,98,,"Central Harbourfront Event space, Central Hong Kong Island","Hong Kong, ",China
97,香港Apm,4.0 ,106,852-31481200,"Millenium City 5, No. 418 Kwun Tong Road, Kwun Tong, Kowloon","Hong Kong, ",China
98,Nathan Road,4.0 ,"1,908",+86 23 4832 6680,Kowloon,"Hong Kong, ",China
99,TurboJet,4.0 ,745,85223070880,Hong Kong Macau Ferry Terminal,"Hong Kong, ",China
100,Hong Kong Cultural Centre,4.0 ,152,852-27342009,"10 Salisbury Road, Tsim Sha Tsui, Kowloon","Hong Kong, ",China
101,Madame Tussauds Hong Kong,4.0 ,"1,090",852-28496966 ,"Shop P101, The Peak Tower, 128 Peak Road, The Peak","Hong Kong, ",China
102,Hong Kong Dragon and Lion Dance Festival,4.5 ,76,,Starts from Hong Kong Cultural Centre,"Hong Kong, ",China
103,Times Square,,795,852-21188900,"1 Matheson Street,","Hong Kong, ",China
104,Victoria Park,4.0 ,420,852 2570 6186,"No.1 Hing Fat Street, Causeway Bay","Hong Kong, ",China
105,Hong Kong Heritage Discovery Centre,4.5 ,73,852- 22084400,"Haiphong Road, Tsim Sha Tsui, Kowloon","Hong Kong, ",China
106,Hong Kong Zoological and Botanical Gardens,4.0 ,579,852 2530 0154,Albany Road,"Hong Kong, ",China
107,Hollywood Road,4.0 ,241,,,"Hong Kong, ",China
