Index,Title,Rating,Review Count,Phone Number,Address,Locality,Country
40,Xiamen Dragon Boat Pond,4.0 ,36,,"Jimei District, Jimei District","Xiamen 361022, ",China
41,Hongshan Park,4.5 ,13,+86 592 202 5696,"Middle section of the Siming South Road, Siming District","Xiamen 361001, ",China
42,Xiada White City,4.0 ,15,,"Xiada White City, Huandao Road, Siming District","Xiamen 361005, ",China
43,Ciji Palace of Qingjiao,4.0 ,19,+86 592 531 8858,"Qingjiao Village, Haicang Town, Haicang District","Xiamen 361027, ",China
44,Xiamen Guanyinshan Sand Sculpture Cultural Park,4.0 ,21,,"Huandao East Road, Siming District","Xiamen 361008, ",China
45,Xiamen Bridge,4.5 ,16,,"Within Jimei District, Jimei District","Xiamen 361000, ",China
46,Xiamen Underwater World,3.5 ,46,,"No.2 Longtou Road, Siming District","Xiamen 310013, ",China
47,Haoyue Park,3.5 ,26,+86 592 206 3401,"No.3 Zhangzhou Road, Siming District","Xiamen 361002, ",China
48,Pan base Center,4.5 ,8,,JiaHeLu 199Hao LianHua LuKou,"Xiamen, ",China
49,Xiamen Zhonggu Cableway,4.0 ,12,+86 592 209 4165,"Nanhua Road, Siming District","Xiamen 361023, ",China
50,Xiamen Yu Park,4.0 ,23,,Fuxing Road,"Xiamen 361023, ",China
51,Pearl Bay,4.0 ,14,,"Huandaonan Road, Siming District","Xiamen 361005, ",China
52,Marathon Group Portrait Sculpture,4.5 ,11,,"Huizhang Center Station, Huandao Road, Siming District","Xiamen 361005, ",China
53,Huweishan Atmosphere Theme Park,4.5 ,10,,"Within Siming District, Siming District","Xiamen 361001, ",China
54,Music Square,4.0 ,16,,"Zengshan Station, Huandao South Road, Siming District","Xiamen 361005, ",China
55,Haicang Bridge,3.5 ,27,,"No.127 Dongdu Road, Huli District","Xiamen 361013, ",China
56,Tong'an Media City,3.5 ,43,+86 592 730 2870,"Wuxian Town, Tong'an District","Xiamen 250100, ",China
57,Gulangyu Vagetable Market Longtou Nongmao Market,4.0 ,13,+86 592 206 0179,Beside Longtou Road,"Xiamen 361002, ",China
58,SM new life Square,4.0 ,11,,JiaHeLu sm ChengShiGuangChang DuiMian,"Xiamen, ",China
59,Xiamen Youth Science and Technology Museum,4.0 ,9,+86 592 582 8577,"Haicang Bridge, Haicang District","Xiamen 361012, ",China
60,Gulang Island Bainiao Garden,4.0 ,15,,"Hero Mountain, Gulang Island","Xiamen, ",China
61,Wenzeng Road Strange Slope,4.0 ,11,,"Around the Wenping Resort, Siming District","Xiamen 361007, ",China
62,Robinson Shopping Mall,4.0 ,8,,HuBin DongLu Jin ShaHeLu,"Xiamen, ",China
63,California commercial Plaza,4.0 ,12,,Lian Qian DaDao Jia Sheng HaoYuan DongCe Jin brt HongWen Zhan,"Xiamen, ",China
64,Gulangyu Person Stadium,4.0 ,9,,"Zhonghua Road, Gulangyu","Xiamen 361000, ",China
65,Mt. Tianzhu National Forest Park,4.0 ,11,,"Dongfu Country, Haicang District","Xiamen 361027, ",China
66,Xiamen Lvtang Xiangshan Mountain,4.5 ,7,,"Lvtang Village, Xindian Town, Xiang'an District","Xiamen 361102, ",China
67,Jiageng Park,4.5 ,7,,"Jimeixue Village, Jimei District","Xiamen 361021, ",China
68,Xiamen Haicang Wild Zoo,3.5 ,18,+86 592 689 5999,"East of Jiaosong Road, Haicang District","Xiamen 361000, ",China
69,DongFang YuGu YiShuGuan,5.0 ,3,,No.27 Guxin Road,"Xiamen, ",China
70,The eighth seafood Market,4.0 ,5,,Ying PingLu ( Jin Kai He Lu ),"Xiamen, ",China
71,Yunding Mountain,4.5 ,5,,"Jinqiao Road, Siming District","Xiamen 361012, ",China
72,GuLangYu GangQin YiShuGuan,4.0 ,8,,Beside Ciji Charity Center Chi,"Xiamen, ",China
73,Taiwan Folk Village,4.0 ,12,+86 592 256 0113,"No.35 Huangcuo Road, Siming District","Xiamen 361005, ",China
74,Xiamen Lixin Ferris Wheel,3.5 ,17,,"Mingfa Commercial Plaza , Siming District","Xiamen 361008, ",China
75,Xiamen Tianjie Temple,4.0 ,8,+86 592 531 8858,South Tianjie Hill,"Xiamen 361023, ",China
76,Fantian Temple,4.0 ,7,,"South of Dalun Mountain, Tong'an District","Xiamen 361100, ",China
77,Xiamen Wutong Lighthouse Park,4.0 ,6,,"Linhai District, Wutong Section of Huandao East Road","Xiamen, ",China
78,Xiamen Science Museum,4.0 ,8,+86 592 514 7666,"No.95 Tiyu Road, Siming District","Xiamen 361012, ",China
79,Xiamen Guilai Park,4.0 ,12,+86 592 531 8858,"Jimei Town, Jiageng Road","Xiamen 361023, ",China
80,Garden Expo on Water,4.5 ,4,,"Middle of Xinghai Seawall, Jimei District","Xiamen 361022, ",China
81,Paris spring department Store (Zhongshan Road),3.5 ,11,+86 592 204 0018,ZhongShanLu 76-132 Hao Jin ShuiXian Lu,"Xiamen, ",China
82,Zhonglun Park,4.0 ,8,,"No.62 Jinshang Road, Siming District","Xiamen 361001, ",China
83,WuYuanWan ShangYe Jie A Qu,4.5 ,3,,Zhongzhai Road,"Xiamen, ",China
84,Xianyue Mountain,4.0 ,5,,"Within Huli District, Huli District","Xiamen 361009, ",China
85,Meihai Mountain,4.0 ,5,,"Wenping Road, Siming District","Xiamen 361007, ",China
86,Gulangshi,3.5 ,7,,"Beside Gulangyu Villa, Gusheng Road, Gilangyu","Xiamen 361002, ",China
87,Hi Heaven,4.0 ,5,+86 592 257 0510,"No. 38 Fujian Road, Gulangyu","Xiamen, ",China
88,Xiamen Kuailegu Water Park,4.0 ,9,+86 592 562 3605,"No.17-19 Huarong Road, Huli District","Xiamen 361006, ",China
